new_or_ren,senior_or_non_senior,Avg_Elec_Dev,surv_,Est_Ann_MMBtu,Est_Ann_Kwh,Yrs_in_Un,Ppl_in_Un,Ann_Income,Under_5,five_to_9,ten_to_19,tweenty_to_29,thirty_to_59,sixty_and_over,W_more_comf,W_same,W_less_comf,S_more_comf,S_same,S_less_comf,U_more_affor,U_same,U_less_affor,H_more_affor,H_same,H_less_affor,more_sat,same,less_sat,Affor_qual,Sat_qual,S_below_68,S_68-72,S_72-75,S_above_75,W_below_68,W_68-72,W_72-75,W_above_75,fall_window,winter_window,spring_window,summer_window,space_heater_comfort,fan_comfort,dry_pref,medium_pref,humid_pref,short_showers,medium_showers,long_showers,yes_dishwasher,no_hand-wash all,combination_wash,yes_wd,hang_dry_most_clothes_wd,not_in_unit_wd,low_wcomf,medium_wc,high_wc,low_sc,medium_sc,high_sc,low_comfort_sw_qual,Edu_on_systems,Edu_qual,never_noise_dist,sometimes_noise_dist,frequently_noise_dist,noise_elaborate_qual,HERS,PoC,CA,CV,NoB,H_type,foundat,HP_fuel,HP_HSPF,HP_SEER,WH_type,WH_fuel,WH_EF,WH_size,D_leak,V_type,V_exhaust,V_supply,V_balanced,V_air_cycler,P_heat,P_cool,C_R,S_attic,S_attic_R,AG_R-value,F_wall,S,S_edge_R,S_under_R,W_U,W_SHGC,IH_ACH,IC_ACH,IH_CFM,IC_CFM,I_method,Int_light,Ext_light,Ref,DW_EF,RO_fuel,D_fuel,D_EF,CF,est_H,est_C,est_HW,est_L/A,est_P,est_total,Avg_Elec_Un_kWh
0,1,508,4,26.7,7825,2,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,6,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,4,0,0,1,0,0,0,62,2,1152,9216,2,4,1,1,2,3,2,2,2.35,2,46,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,4,4,1,3,2,3,0.76,2,2,2.67,0,6.9,1.3,4.9,13.5,0,26.7,738
0,1,508,12,26.8,7854,1.42,1,5400,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,4,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,62,2,1152,9216,2,4,1,1,2,3,2,2,2.35,2,65,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,3,3,1,3,2,3,0.76,2,2,2.67,0,7,1.3,4.9,13.5,0,26.8,649
0,1,508,13,26.7,7825,2,2,10800,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,62,2,1152,9216,2,4,1,1,2,3,2,2,2.35,2,49,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,3,3,1,3,2,3,0.76,2,2,2.67,0,6.9,1.3,4.9,13.5,0,26.7,644
0,1,508,1,26.7,7825,2,1,14304,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,62,2,1152,9216,2,4,1,1,2,3,2,2,2.35,2,52,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,4,4,1,3,2,3,0.76,2,2,2.67,0,6.9,1.3,4.9,13.5,0,26.7,485
0,1,508,8,26.6,7796,2.5,3,0,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,62,2,1152,9216,2,4,1,1,2,3,2,2,2.35,2,37,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,3,3,1,3,2,3,0.76,2,2,2.67,0,6.8,1.3,4.9,13.5,0,26.6,571
0,1,508,11,26.6,7796,2,1,15036,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,4,6,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,4,0,1,0,1,0,3,62,2,1152,9216,2,4,1,1,2,3,2,2,2.35,2,32,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,4,4,1,3,2,3,0.76,2,2,2.67,0,6.8,1.3,4.9,13.5,0,26.6,536
0,1,508,5,24.1,7063,2,1,8376,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,64,2,880,7040,1,5,1,1,2,3,2,2,2.35,2,36,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,3,3,1,3,2,3,0.76,2,2,2.67,0,7.6,1,4.1,11.5,0,24.1,459
0,1,508,6,24.1,7063,1.5,1,16800,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,64,2,880,7040,1,5,1,1,2,3,2,2,2.35,2,36,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,3,3,1,3,2,3,0.76,2,2,2.67,0,7.5,1,4.1,11.5,0,24.1,473
0,1,508,7,26.5,7766,0.5,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,62,2,1152,9216,2,4,1,1,2,3,2,2,2.35,2,20,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,4,4,1,3,2,3,0.76,2,2,2.67,0,6.8,1.3,4.9,13.5,0,26.5,450
0,1,508,10,24.1,7063,2,1,17208,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,63,2,880,7040,1,5,1,1,2,3,2,2,2.35,2,34,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,2,2,1,3,2,3,0.76,2,2,2.67,0,7.5,1,4.1,11.5,0,24.1,391
